Code,Date,Time,Height(m)
2,18/09/2018,0:00:00,3180
2,18/09/2018,0:05:00,3150
2,18/09/2018,0:10:00,3120
2,18/09/2018,0:15:00,3100
2,18/09/2018,0:20:00,3070
2,18/09/2018,0:25:00,3040
2,18/09/2018,0:30:00,3020
2,18/09/2018,0:35:00,2990
2,18/09/2018,0:40:00,2960
2,18/09/2018,0:45:00,2940
2,18/09/2018,0:50:00,2920
2,18/09/2018,0:55:00,2880
2,18/09/2018,1:00:00,2850
2,18/09/2018,1:05:00,2830
2,18/09/2018,1:10:00,2810
2,18/09/2018,1:15:00,2780
2,18/09/2018,1:20:00,2750
2,18/09/2018,1:25:00,2730
2,18/09/2018,1:30:00,2700
2,18/09/2018,1:35:00,2670
2,18/09/2018,1:40:00,2640
2,18/09/2018,1:45:00,2630
2,18/09/2018,1:50:00,2590
2,18/09/2018,1:55:00,2570
2,18/09/2018,2:00:00,2550
2,18/09/2018,2:05:00,2530
2,18/09/2018,2:10:00,2510
2,18/09/2018,2:15:00,2480
2,18/09/2018,2:20:00,2460
2,18/09/2018,2:25:00,2450
2,18/09/2018,2:30:00,2430
2,18/09/2018,2:35:00,2410
2,18/09/2018,2:40:00,2400
2,18/09/2018,2:45:00,2390
2,18/09/2018,2:50:00,2370
2,18/09/2018,2:55:00,2360
2,18/09/2018,3:00:00,2350
2,18/09/2018,3:05:00,2340
2,18/09/2018,3:10:00,2320
2,18/09/2018,3:15:00,2320
2,18/09/2018,3:20:00,2310
2,18/09/2018,3:25:00,2300
2,18/09/2018,3:30:00,2300
2,18/09/2018,3:35:00,2290
2,18/09/2018,3:40:00,2290
2,18/09/2018,3:45:00,2280
2,18/09/2018,3:50:00,2280
2,18/09/2018,3:55:00,2290
2,18/09/2018,4:00:00,2290
2,18/09/2018,4:05:00,2290
2,18/09/2018,4:10:00,2300
2,18/09/2018,4:15:00,2310
2,18/09/2018,4:20:00,2320
2,18/09/2018,4:25:00,2320
2,18/09/2018,4:30:00,2340
2,18/09/2018,4:35:00,2350
2,18/09/2018,4:40:00,2360
2,18/09/2018,4:45:00,2370
2,18/09/2018,4:50:00,2390
2,18/09/2018,4:55:00,2400
2,18/09/2018,5:00:00,2420
2,18/09/2018,5:05:00,2440
2,18/09/2018,5:10:00,2450
2,18/09/2018,5:15:00,2470
2,18/09/2018,5:20:00,2480
2,18/09/2018,5:25:00,2510
2,18/09/2018,5:30:00,2520
2,18/09/2018,5:35:00,2550
2,18/09/2018,5:40:00,2570
2,18/09/2018,5:45:00,2570
2,18/09/2018,5:50:00,2610
2,18/09/2018,5:55:00,2640
2,18/09/2018,6:00:00,2660
2,18/09/2018,6:05:00,2680
2,18/09/2018,6:10:00,2720
2,18/09/2018,6:15:00,2750
2,18/09/2018,6:20:00,2760
2,18/09/2018,6:25:00,2780
2,18/09/2018,6:30:00,2820
2,18/09/2018,6:35:00,2840
2,18/09/2018,6:40:00,2870
2,18/09/2018,6:45:00,2890
2,18/09/2018,6:50:00,2920
2,18/09/2018,6:55:00,2950
2,18/09/2018,7:00:00,2980
2,18/09/2018,7:05:00,3000
2,18/09/2018,7:10:00,3030
2,18/09/2018,7:15:00,3050
2,18/09/2018,7:20:00,3090
2,18/09/2018,7:25:00,3100
2,18/09/2018,7:30:00,3140
2,18/09/2018,7:35:00,3170
2,18/09/2018,7:40:00,3190
2,18/09/2018,7:45:00,3230
2,18/09/2018,7:50:00,3240
2,18/09/2018,7:55:00,3270
2,18/09/2018,8:00:00,3300
2,18/09/2018,8:05:00,3320
2,18/09/2018,8:10:00,3350
2,18/09/2018,8:15:00,3360
2,18/09/2018,8:20:00,3390
2,18/09/2018,8:25:00,3400
2,18/09/2018,8:30:00,3420
2,18/09/2018,8:35:00,3450
2,18/09/2018,8:40:00,3470
2,18/09/2018,8:45:00,3480
2,18/09/2018,8:50:00,3490
2,18/09/2018,8:55:00,3500
2,18/09/2018,9:00:00,3530
2,18/09/2018,9:05:00,3530
